date,close,volume,open,high,low,Sector,Source,daily_return,volatility,RSI,rolling_returns_mean,rolling_returns_sd,rolling_sharpe,cumulative_return,rolling_max,rolling_drawdown,Date
2020-06-11,51.57,4787036,53.77,53.8,51.425,Healthcare,AZN Historical Data,-3.8590604026845665,1.924330409273454,43.44005312970873,0.07205970804038253,2.2315212367101642,0.5126155123771365,-1000812117700.061,1042757585121530.1,-1.0009597744787282,2020-06-11
2020-06-12,51.47,5630349,52.18,52.25,50.95,Healthcare,AZN Historical Data,-0.19391118867558843,1.7955347800269799,43.03559875932543,0.06922139638793391,2.231509214439988,0.49242709569467424,-806743450315.9093,1042757585121530.1,-1.0007736634686977,2020-06-12
2020-06-15,52.64,5721596,52.44,52.99,51.69,Healthcare,AZN Historical Data,2.273168836215267,1.8773440017633245,49.01665709284388,0.07424291351663055,2.231510788651166,0.5281487863008124,-2640607520394.814,1042757585121530.1,-1.0025323311554595,2020-06-15
2020-06-16,53.58,5537578,54.18,54.21,53.5,Healthcare,AZN Historical Data,1.7857142857142794,1.9220524465904856,53.26252449493994,0.03959614801154307,2.2854818393480145,0.2750270653068062,-7355978092528.394,1042757585121530.1,-1.0070543510759224,2020-06-16
2020-06-17,53.9,4919095,54.12,54.2487,53.765,Healthcare,AZN Historical Data,0.5972377752892832,1.9258426763207923,54.64720316257734,0.038146176422687035,2.2843714430458415,0.26508463828769746,-11749246083586.756,1042757585121530.1,-1.011267476018616,2020-06-17
2020-06-18,52.66,3796142,52.64,52.83,52.28,Healthcare,AZN Historical Data,-2.3005565862708743,1.9934885190061886,48.63431723871062,0.041663039610684544,2.283928883570111,0.28958005426315847,15280559377726.031,1042757585121530.1,-0.9853460098533399,2020-06-18
2020-06-19,53.02,6807207,52.5,53.2,52.41,Healthcare,AZN Historical Data,0.6836308393467716,1.8863707579740305,50.342618032767014,0.03838428931619615,2.283787327142522,0.26680755053407174,25726821010809.06,1042757585121530.1,-0.9753280902695993,2020-06-19
2020-06-22,53.42,3375800,53.37,53.53,53,Healthcare,AZN Historical Data,0.7544322897020006,1.8981993627982165,52.24312452086862,0.027969640098173956,2.2831594853675683,0.19446923204622749,45135965492747.27,1042757585121530.1,-0.956714804920372,2020-06-22
2020-06-23,54.25,10771970,53.17,55.19,53.13,Healthcare,AZN Historical Data,1.5537251965555887,1.723262938413123,56.00569611420003,0.01988966004576529,2.2833776987175884,0.13827697670587005,115264852349692.3,1042757585121530.1,-0.8894615066873299,2020-06-23
2020-06-24,52.13,6418579,52.92,53.43,52,Healthcare,AZN Historical Data,-3.907834101382479,1.9266546797585755,46.03020609236022,0.016783982604123636,2.2854786577428574,0.1165784081928844,-335171068353251.6,1042757585121530.1,-1.3214276003700214,2020-06-24
2020-06-25,53.01,4948279,52.49,53.12,52.2,Healthcare,AZN Historical Data,1.688087473623634,1.9127312817074278,50.010476100010706,0.017268796699196405,2.285479503670477,0.11994579194614624,-900969150361426.5,1042757585121530.1,-1.8640255062315574,2020-06-25
2020-06-26,52.7,6234745,53.08,53.48,52.515,Healthcare,AZN Historical Data,-0.5847953216374213,1.851428124889503,48.649337317562974,0.015393773127408548,2.2857205713648567,0.10691095651228884,-374086606290421.9,1042757585121530.1,-1.358747432411938,2020-06-26
